N,Bit_length
221,8
185,8
219,8
185,8
221,8
249,8
213,8
215,8
205,8
235,8
201,8
205,8
205,8
247,8
253,8
247,8
247,8
221,8
253,8
221,8
451,9
361,9
473,9
481,9
505,9
335,9
415,9
415,9
395,9
451,9
395,9
481,9
469,9
497,9
407,9
505,9
335,9
485,9
323,9
407,9
781,10
851,10
695,10
949,10
865,10
835,10
685,10
921,10
985,10
913,10
771,10
655,10
799,10
979,10
817,10
985,10
685,10
913,10
731,10
781,10
1411,11
1513,11
1945,11
1655,11
1851,11
1727,11
1529,11
1915,11
1963,11
1961,11
1793,11
1835,11
2045,11
2033,11
1793,11
1985,11
1285,11
2021,11
1207,11
1585,11
3839,12
3883,12
3811,12
3287,12
3589,12
3589,12
3377,12
3973,12
3799,12
3013,12
3097,12
3239,12
2983,12
2567,12
3977,12
3293,12
2735,12
2839,12
2845,12
3715,12
7183,13
7073,13
7969,13
6943,13
6443,13
6341,13
6787,13
6085,13
7117,13
5165,13
5633,13
5389,13
5041,13
8057,13
5485,13
7391,13
7235,13
7627,13
7387,13
5963,13
15821,14
13961,14
12737,14
11029,14
12515,14
16181,14
15055,14
10877,14
11015,14
15613,14
14963,14
14267,14
14711,14
16043,14
11065,14
11759,14
11371,14
10981,14
12133,14
10081,14
32593,15
27443,15
24599,15
29291,15
28073,15
29999,15
30563,15
27331,15
29779,15
32161,15
31819,15
28531,15
22583,15
31163,15
26057,15
27533,15
27787,15
18761,15
31903,15
24655,15
56159,16
56803,16
64471,16
61433,16
47597,16
47729,16
61193,16
45401,16
50293,16
50339,16
63263,16
57451,16
59993,16
42353,16
60043,16
35239,16
55193,16
50639,16
48827,16
39797,16
115231,17
101567,17
123227,17
125663,17
102923,17
99739,17
121757,17
124009,17
122659,17
115069,17
99637,17
114409,17
81241,17
126061,17
128417,17
108599,17
104813,17
81491,17
115651,17
94013,17
189641,18
216389,18
181127,18
254077,18
161963,18
221693,18
196691,18
221033,18
257359,18
213583,18
236101,18
171019,18
229973,18
250633,18
251921,18
172771,18
146089,18
245233,18
211669,18
194459,18
458923,19
499573,19
511571,19
456643,19
304519,19
486467,19
470497,19
406589,19
444419,19
509461,19
504293,19
423653,19
412813,19
456551,19
323677,19
339337,19
477193,19
446023,19
288073,19
459161,19
767077,20
616937,20
762271,20
801433,20
544147,20
901027,20
743759,20
966899,20
1036169,20
890209,20
873007,20
596041,20
879943,20
669589,20
943247,20
737249,20
854641,20
1030901,20
799691,20
1019999,20
1193987,21
1812847,21
1183291,21
1562153,21
1671119,21
1640579,21
1891853,21
1168117,21
1975357,21
1972703,21
1614427,21
1513507,21
1212499,21
2026159,21
2091041,21
1691609,21
1635911,21
2036743,21
1173967,21
1820369,21
3961637,22
3789637,22
2708789,22
3274067,22
4183363,22
2921119,22
3437233,22
3742957,22
2500397,22
3967807,22
3929867,22
3840553,22
3970003,22
3383953,22
4180291,22
3206743,22
3990839,22
4019839,22
3625627,22
3657389,22
5686841,23
5020789,23
4994839,23
5252749,23
6051713,23
8010701,23
7077233,23
7582793,23
8387773,23
8090051,23
6689929,23
7360057,23
8101193,23
5639747,23
6538229,23
7228919,23
8322421,23
5517121,23
8333641,23
8021899,23
15704053,24
