N,Bit_length
18272137721893337321035807,84
8147137977688892306704858895482363,113
262454994209,38
307564062510423861774808119875857,108
465287149314385700916883998723019,109
17514016240187,44
22170347,25
2100345516551,41
1197296953846503772895448735393259,110
453233232119,39
1895,11
13417252429045175741732578290217,104
103072318207352622489042359,87
28746200569945065711113,75
105902426217927826853,67
52931,16
158649471383676810723224136970999679,117
8350062717286738271,63
1114389064732420606790958021313,100
20841608644290610682943698310765505771,124
72821978242772095557977269,86
84397,17
13610330773811,44
1076037255873767778420007012487,100
25649663088172093943093909,85
13031122795846259017,64
15734490002910732551,64
4503946881265236420782902049179,102
1541759425357,41
1338509,21
4008921239404570922286659536443301,112
1113091547478188071637603,80
17142169255244934166160119,84
1072654583377112416040197,80
13025883852342781931867988059,94
1798021954131054859,61
34214727577189,45
261045579823747,48
50708133169,36
136741896914578848122254991407823561,117
982044837724069891772111,80
8019031,23
4359645981068540872187484155342329,112
161366036583136986732815220110577659,117
1550894699814345097613059739,91
33773057062612495571553905775532201,115
5874430480099,43
7813264984517,43
4701122086086199,53
842646825968420033399906144557491373,120
